,year,month,R1,temp_mean,temp_max,temp_min,country_code
1874,2004,2,46.2,1.52,5.6,-1.7399999999999998,HUN
1875,2004,3,49.0,5.26,9.959999999999999,1.08,HUN
1876,2004,4,81.0,11.64,16.6,7.159999999999999,HUN
1877,2004,5,52.2,14.540000000000001,20.4,8.959999999999999,HUN
1878,2004,6,88.6,18.759999999999998,24.48,13.3,HUN
1879,2004,7,91.2,20.98,27.28,15.1,HUN
1880,2004,8,69.4,20.759999999999998,27.26,14.76,HUN
1881,2004,9,40.2,15.459999999999999,21.46,10.28,HUN
1882,2004,10,68.8,12.18,17.5,8.0,HUN
1883,2004,11,66.4,5.64,9.66,2.46,HUN
1884,2004,12,38.8,1.1199999999999999,3.9,-1.16,HUN
1885,2004,1,102.0,-0.6,2.3499999999999996,-3.175,ISL
1886,2004,2,76.5,0.875,4.074999999999999,-2.375,ISL
1887,2004,3,103.75,4.025,6.949999999999999,1.625,ISL
1888,2004,4,95.0,5.15,8.45,2.625,ISL
1889,2004,5,63.25,6.875,10.1,4.3,ISL
1890,2004,6,46.0,9.975,13.4,7.2,ISL
1891,2004,7,65.0,11.675,15.05,8.8,ISL
1892,2004,8,106.25,12.225,16.05,8.95,ISL
1893,2004,9,137.75,9.05,12.15,6.6499999999999995,ISL
1894,2004,10,92.25,4.35,7.25,2.05,ISL
1895,2004,11,126.0,1.725,4.85,-1.275,ISL
1896,2004,12,99.25,-0.5,3.025,-3.325,ISL
1897,2004,1,19.033333333333335,20.41,26.436666666666667,14.370000000000001,IND
1898,2004,2,673.6333333333333,21.567741935483873,28.335483870967742,14.803225806451612,IND
1899,2004,3,399.0769230769231,27.12962962962963,33.739285714285714,20.633333333333333,IND
1900,2004,4,427.76666666666665,29.151612903225807,34.932258064516134,23.370967741935484,IND
1901,2004,5,189.57894736842104,29.762162162162163,34.9,24.63243243243243,IND
1902,2004,6,224.9142857142857,29.38235294117647,33.65588235294118,25.11470588235294,IND
1903,2004,7,380.38461538461536,27.987179487179485,31.602564102564102,24.366666666666667,IND
1904,2004,8,273.80555555555554,27.41111111111111,30.738888888888887,24.1,IND
1905,2004,9,143.55555555555554,27.083333333333332,31.327777777777776,22.844444444444445,IND
1906,2004,10,124.22857142857143,26.24857142857143,31.330303030303032,21.266666666666666,IND
1907,2004,11,651.060606060606,24.71818181818182,31.11875,19.25,IND
1908,2004,12,616.2424242424242,21.454545454545453,27.736363636363635,15.16060606060606,IND
1909,2004,1,281.2857142857143,27.126666666666665,31.185714285714287,23.807142857142857,IDN
1910,2004,2,289.46666666666664,27.346666666666668,30.90666666666667,23.5,IDN
1911,2004,3,295.7142857142857,27.164285714285715,31.75714285714286,23.75714285714286,IDN
1912,2004,4,183.61111111111111,24.63888888888889,29.72222222222222,21.711111111111112,IDN
1913,2004,5,203.25925925925927,28.94814814814815,32.288888888888884,23.307692307692307,IDN
1914,2004,6,108.72,26.944000000000003,31.04,22.824,IDN
1915,2004,7,130.28125,26.440625,30.98125,22.5625,IDN
1916,2004,8,381.75,24.959375,29.884375,21.466666666666665,IDN
1917,2004,9,584.125,27.0125,31.929166666666664,23.078260869565216,IDN
1918,2004,10,112.59375,27.48787878787879,32.4969696969697,23.203125,IDN
1919,2004,11,315.1111111111111,27.192592592592593,29.52592592592593,23.888461538461538,IDN
1920,2004,12,244.48387096774192,27.14375,29.66875,23.66875,IDN
