Country Label,Pollutant,Unit,Value
Latvia,SO2,µg/m³,0.5958397085714285
Lithuania,CO,µg/m³,244.48199555555553
Lithuania,NO2,µg/m³,6.844017871428571
Lithuania,O3,µg/m³,80.79514621692307
Lithuania,PM10,µg/m³,66.22384628461539
Lithuania,PM2.5,µg/m³,17.149999468
Lithuania,SO2,µg/m³,4.996578906666667
Luxembourg,CO,µg/m³,233.33333333333334
Luxembourg,NO2,µg/m³,11.411111111111111
Luxembourg,O3,µg/m³,69.75
Luxembourg,PM10,µg/m³,14.333333333333334
Luxembourg,PM2.5,µg/m³,7.966666666666666
Luxembourg,SO2,µg/m³,3.9499999999999997
"Macedonia, The former Yugoslav Rep. of",CO,µg/m³,1299.7501054545455
"Macedonia, The former Yugoslav Rep. of",NO2,µg/m³,12.755561739130435
"Macedonia, The former Yugoslav Rep. of",O3,µg/m³,36.52435652173913
"Macedonia, The former Yugoslav Rep. of",PM10,µg/m³,29.47061904761905
"Macedonia, The former Yugoslav Rep. of",PM2.5,µg/m³,17.883933333333335
"Macedonia, The former Yugoslav Rep. of",SO2,µg/m³,2.9590318589473683
Madagascar,PM2.5,µg/m³,18.0
Malaysia,PM10,µg/m³,27.5
Malaysia,PM2.5,µg/m³,8.658749995628993
Malaysia,TEMPERATURE,c,26.88333320617676
Mali,PM2.5,µg/m³,-999.0
Malta,CO,µg/m³,205.481
Malta,NO2,µg/m³,4.695825
Malta,O3,µg/m³,85.752235
Malta,PM10,µg/m³,14.697666666666668
Malta,PM2.5,µg/m³,13.4765
Malta,SO2,µg/m³,0.10437
Mexico,NO,ppm,0.02566510829840217
Mexico,NOX,ppm,0.04165369174982426
Mexico,PM1,µg/m³,7.201264878114065
Mexico,PM10,µg/m³,76.1054682533101
Mexico,PM2.5,µg/m³,29.689909624188733
Mexico,RELATIVEHUMIDITY,%,20.62434514363607
Mexico,TEMPERATURE,c,20.190699577331543
Mexico,UM003,particles/cm³,1670.9300587972004
"Moldova, Republic of",NO2,µg/m³,12.67044171
"Moldova, Republic of",PM2.5,µg/m³,18.0
"Moldova, Republic of",SO2,µg/m³,5.27553229
Mongolia,CO,µg/m³,151.5
Mongolia,NO2,µg/m³,41.707317073170735
Mongolia,O3,µg/m³,28.25
Mongolia,PM10,µg/m³,181.14814814814815
Mongolia,PM2.5,µg/m³,111.05454545454545
Mongolia,SO2,µg/m³,36.048780487804876
Montenegro,CO,µg/m³,458.0
Montenegro,NO2,µg/m³,10.1375
Montenegro,O3,µg/m³,61.85
Montenegro,PM10,µg/m³,22.14
Montenegro,PM2.5,µg/m³,20.54
Montenegro,SO2,µg/m³,14.080000000000002
Morocco,PM2.5,µg/m³,5.0
Mozambique,PM2.5,µg/m³,4.0
Myanmar,PM10,µg/m³,54.0
Myanmar,PM2.5,µg/m³,49.96666666666667
Nepal,PM2.5,µg/m³,29.05218251546224
Nepal,TEMPERATURE,c,19.73660723368327
Netherlands,CO,µg/m³,-397.76745999999997
Netherlands,NO2,µg/m³,-580.7029113924051
Netherlands,O3,µg/m³,-133.66208333333333
Netherlands,PM1,µg/m³,11.087797657648725
Netherlands,PM10,µg/m³,-239.785376987875
Netherlands,PM2.5,µg/m³,-77.76508471318036
Netherlands,RELATIVEHUMIDITY,%,62.25299326578776
Netherlands,SO2,µg/m³,-151.69615384615383
Netherlands,TEMPERATURE,c,11.244843276341756
Netherlands,UM003,particles/cm³,1349.21115620931
New Zealand,CO,µg/m³,309.7708
New Zealand,NO2,µg/m³,8.34367085
New Zealand,PM1,µg/m³,1.1875
New Zealand,PM10,µg/m³,15.991346348484848
New Zealand,PM2.5,µg/m³,7.229572906666666
New Zealand,RELATIVEHUMIDITY,%,86.94461886088054
New Zealand,SO2,µg/m³,-0.4294061
New Zealand,TEMPERATURE,c,15.687362353006998
New Zealand,UM003,particles/cm³,455.25
Nicaragua,PM2.5,µg/m³,14.8375
Nigeria,PM2.5,µg/m³,37.23333333333333
Norway,CO,µg/m³,304.205
Norway,NO2,µg/m³,24.599437610117743
Norway,O3,µg/m³,51.446931615384614
Norway,PM10,µg/m³,15.2978142993
Norway,PM2.5,µg/m³,10.303795174208064
Norway,SO2,µg/m³,3.3901275
Pakistan,PM2.5,µg/m³,28.8
Peru,CO,µg/m³,4214.798333333333
Peru,NO2,µg/m³,30.63153846153846
Peru,O3,µg/m³,22.62
Peru,PM10,µg/m³,67.03461538461539
Peru,PM2.5,µg/m³,-33.69866666666666
Peru,SO2,µg/m³,45.50384615384615
Philippines,PM2.5,µg/m³,11.4
Poland,BC,µg/m³,0.7688018867924528
Poland,CO,µg/m³,491.9175851351351
Poland,NO2,µg/m³,10.574093973333333
Poland,O3,µg/m³,56.74997107333334
Poland,PM10,µg/m³,24.63212378571429
Poland,PM2.5,µg/m³,23.942290307070483
Poland,SO2,µg/m³,11.706925442424241
Poland,TEMPERATURE,c,7.712351163228353
Portugal,CO,µg/m³,378.2142857142857
Portugal,NO2,µg/m³,7.977586206896552
Portugal,O3,µg/m³,99.29268292682927
Portugal,PM10,µg/m³,12.794444444444444
Portugal,PM2.5,µg/m³,3.9105263157894736
Portugal,SO2,µg/m³,3.3368421052631576
Puerto Rico,PM10,µg/m³,33.5
Puerto Rico,PM2.5,µg/m³,29.425
Qatar,PM2.5,µg/m³,50.0
Romania,NO2,µg/m³,15.380301544615385
Romania,O3,µg/m³,71.5993998625
Romania,PM10,µg/m³,19.066018587692305
Romania,PM2.5,µg/m³,8.899424214444444
Romania,SO2,µg/m³,6.424894865000001
Russian Federation,CO,µg/m³,317.14285714285717
Russian Federation,NO2,µg/m³,23.52881204081633
Russian Federation,O3,µg/m³,51.64985496666666
Russian Federation,PM10,µg/m³,23.223166666666668
Russian Federation,PM2.5,µg/m³,8.405949999999999
Russian Federation,SO2,µg/m³,4.430434782608696
Rwanda,PM10,µg/m³,0.0
Rwanda,PM2.5,µg/m³,24.95
Saudi Arabia,CO,µg/m³,1457.755
Saudi Arabia,NO2,µg/m³,11.971
Saudi Arabia,PM10,µg/m³,39.861
Saudi Arabia,PM2.5,µg/m³,80.46459999999999
Saudi Arabia,SO2,µg/m³,13.922
Senegal,PM1,µg/m³,10.77315668626265
Senegal,PM10,µg/m³,19.795277508822355
Senegal,PM2.5,µg/m³,18.965353532270957
Senegal,RELATIVEHUMIDITY,%,86.1463456587358
Senegal,TEMPERATURE,c,20.125328063964844
Senegal,UM003,particles/cm³,2026.9462224786928
Serbia,CO,µg/m³,319.0976886585365
Serbia,NO2,µg/m³,15.290670789950266
Serbia,O3,µg/m³,46.28002632039366
Serbia,PM10,µg/m³,16.54045888860136
Serbia,PM2.5,µg/m³,11.091751348224706
Serbia,SO2,µg/m³,8.625459271612636
Serbia and Montenegro,PM2.5,µg/m³,14.0
Singapore,PM2.5,µg/m³,282.9
Slovakia,CO,µg/m³,624.4161379310344
Slovakia,NO2,µg/m³,21.471892733387097
Slovakia,O3,µg/m³,44.36020512820513
Slovakia,PM10,µg/m³,24.99682402428571
Slovakia,PM2.5,µg/m³,19.107756944444443
Slovakia,SO2,µg/m³,8.083452801875
Slovenia,NO2,µg/m³,5.0
Slovenia,O3,µg/m³,74.01350000000001
Slovenia,PM10,µg/m³,12.994736842105263
Slovenia,PM2.5,µg/m³,15.1
Slovenia,SO2,µg/m³,0.535044495
South Africa,NO,ppm,-0.07244230656934307
South Africa,NO2,µg/m³,1.07
South Africa,NOX,ppm,-0.06727348175182483
South Africa,O3,µg/m³,13.28
South Africa,PM10,µg/m³,4.0175985915492936
South Africa,PM2.5,µg/m³,-16.906157480314963
South Africa,SO2,µg/m³,6.49
Spain,CO,µg/m³,487.26181818181817
Spain,NO2,µg/m³,12.630576323987539
Spain,O3,µg/m³,60.94555133079848
Spain,PM1,µg/m³,9.34548611442248
Spain,PM10,µg/m³,17.269044236323936
Spain,PM2.5,µg/m³,8.875186850710168
Spain,RELATIVEHUMIDITY,%,52.51999950408936
Spain,SO2,µg/m³,3.249485596707819
Spain,TEMPERATURE,c,18.91986099878947
Spain,UM003,particles/cm³,2723.1111043294272
Sri Lanka,PM2.5,µg/m³,50.0
"Sudan, The Republic of",PM2.5,µg/m³,-658.3333333333334
Sweden,CO,µg/m³,171.16666666666666
Sweden,NO2,µg/m³,12.918388467102803
Sweden,O3,µg/m³,59.64465777755556
Sweden,PM10,µg/m³,31.841381809523806
Sweden,PM2.5,µg/m³,18.807094188648648
Sweden,SO2,µg/m³,-0.477538
Switzerland,CO,µg/m³,204.79999999999998
Switzerland,NO2,µg/m³,16.164245454545455
Switzerland,O3,µg/m³,62.90028125
Switzerland,PM1,µg/m³,7.492807522416115
Switzerland,PM10,µg/m³,8.127190168861869
Switzerland,PM2.5,µg/m³,3.521533883084089
Switzerland,RELATIVEHUMIDITY,%,59.99289215935602
Switzerland,SO2,µg/m³,0.8247875
Switzerland,TEMPERATURE,c,8.231254908773634
Switzerland,UM003,particles/cm³,313.464783138699
"Taiwan, China",PM10,µg/m³,25.402439024390244
"Taiwan, China",PM2.5,µg/m³,11.670731707317072
Tajikistan,PM2.5,µg/m³,14.0
Thailand,PM1,µg/m³,40.86883504212308
Thailand,PM10,µg/m³,53.83746569039885
Thailand,PM2.5,µg/m³,39.557863564558524
Thailand,RELATIVEHUMIDITY,%,49.87391320296696
Thailand,TEMPERATURE,c,32.10878244764877
Thailand,UM003,particles/cm³,10650.371474493117
Trinidad and Tobago,CO,µg/m³,546.525056355745
Trinidad and Tobago,NO2,µg/m³,7.34196771455474
Trinidad and Tobago,O3,µg/m³,15.785762725988693
Trinidad and Tobago,PM10,µg/m³,22.480000000000004
Trinidad and Tobago,PM2.5,µg/m³,5.011111111111108
Trinidad and Tobago,SO2,µg/m³,2.075993853427899
Turkey,CO,µg/m³,132445.77806493506
Turkey,NO2,µg/m³,36.16143030303031
Turkey,O3,µg/m³,51.26118859649122
Turkey,PM10,µg/m³,46.64285378590078
Turkey,PM2.5,µg/m³,18.201605714285716
Turkey,SO2,µg/m³,18.638112391930836
Turkmenistan,PM2.5,µg/m³,-999.0
USSR,PM2.5,µg/m³,23.0
Uganda,PM2.5,µg/m³,-999.0
United Arab Emirates,CO,µg/m³,306.6666666666667
United Arab Emirates,NO2,µg/m³,9.185555555555556
United Arab Emirates,O3,µg/m³,48.20230769230769
United Arab Emirates,PM10,µg/m³,247.72222222222223
United Arab Emirates,PM2.5,µg/m³,-204.2
United Arab Emirates,SO2,µg/m³,9.10888888888889
United Kingdom,CO,µg/m³,276.6666666666667
United Kingdom,NO2,µg/m³,30.22128205128205
United Kingdom,O3,µg/m³,44.232654867256635
United Kingdom,PM1,µg/m³,21.441539888028746
United Kingdom,PM10,µg/m³,23.199925129331394
United Kingdom,PM2.5,µg/m³,17.673730083896267
United Kingdom,RELATIVEHUMIDITY,%,67.94662373860677
United Kingdom,SO2,µg/m³,1.9522857142857142
United Kingdom,TEMPERATURE,c,14.63237106402715
United Kingdom,UM003,particles/cm³,5030.083231608072
United States,BC,µg/m³,0.42275862068965514
United States,NO,ppm,0.0019236254224112824
United States,NOX,ppm,0.006968911917098445
United States,PM10,µg/m³,22.982866043613708
United States,PM2.5,µg/m³,8.994352941176471
Uzbekistan,PM2.5,µg/m³,14.0
Viet Nam,PM2.5,µg/m³,26.0
