country_code,year,co2,co2_per_capita,population
SAU,2014,540520.01953125,0.0168479386667244,32082264.20000012
SAU,2015,565190.002441406,0.0172577900954351,32749848.00000006
SAU,2016,561229.98046875,0.016803645101229,33399299.800000075
SAU,2017,545070.007324219,0.0160085166624499,34048751.600000076
SAU,2018,521260.009765625,0.0150226801012304,34698203.4
SAU,2019,523780.029296875,0.014817956844189,35347655.200000145
SAU,2020,523780.029296875,0.014550614561800063,35997107.0
SAU,2021,542217.4277858897,0.01479586202745691,36646558.80000019
SAU,2022,551436.126980488,0.014785391737862865,37296010.60000014
SAU,2023,560654.8261750863,0.014775279854675982,37945462.400000095
SAU,2024,569873.5253696846,0.014765508284759456,38594914.200000286
SAU,2025,579092.2245642828,0.01475606013266412,39244366.00000024
SDN,1970,4855.108,0.0004294577206288,11305206.00000225
SDN,1971,4983.453,0.0004208270970788,11842044.000001376
SDN,1972,5379.489,0.0004345698585704,12378882.000000758
SDN,1973,5427.16,0.000420198022255,12915720.00000155
SDN,1974,5683.85,0.000422510722496,13452558.000001552
SDN,1975,4239.052,0.0003030189437771,13989396.00000136
SDN,1976,3755.008,0.0002584983829945,14526234.000001052
SDN,1977,3806.346,0.0002526938728036,15063072.000002101
SDN,1978,3439.646,0.0002204914002708,15599910.000007005
SDN,1979,3571.658,0.0002213369137325,16136748.000004103
SDN,1980,3747.674,0.0002247671256801,16673586.000000197
SDN,1981,3641.331,0.0002127527765189,17115316.00000774
SDN,1982,3828.348,0.0002180519433622,17557046.00000211
SDN,1983,3909.022,0.0002171826573095,17998776.000007123
SDN,1984,3505.652,0.0001901060632501,18440506.000000797
SDN,1985,4074.037,0.0002157603050825,18882236.00000109
SDN,1986,4250.053,0.0002199368908018,19323966.000001382
SDN,1987,3351.638,0.0001695684280482,19765696.00000829
SDN,1988,4847.774,0.0002399006187131,20207426.000003405
SDN,1989,3758.675,0.0001820255994966,20649156.00000651
SDN,1990,5370.0,0.0002546123477221,21090886.000003256
