country_code,pollutant,unit,value
CHE,RELATIVEHUMIDITY,%,59.99289215935602
CHE,SO2,µg/m³,0.8247875
CHE,TEMPERATURE,c,8.231254908773634
CHE,UM003,particles/cm³,313.464783138699
TWN,PM10,µg/m³,25.402439024390244
TWN,PM2.5,µg/m³,11.670731707317072
TJK,PM2.5,µg/m³,14.0
THA,PM1,µg/m³,40.86883504212308
THA,PM10,µg/m³,53.83746569039885
THA,PM2.5,µg/m³,39.557863564558524
THA,RELATIVEHUMIDITY,%,49.87391320296696
THA,TEMPERATURE,c,32.10878244764877
THA,UM003,particles/cm³,10650.371474493117
TTO,CO,µg/m³,546.525056355745
TTO,NO2,µg/m³,7.34196771455474
TTO,O3,µg/m³,15.785762725988693
TTO,PM10,µg/m³,22.480000000000004
TTO,PM2.5,µg/m³,5.011111111111108
TTO,SO2,µg/m³,2.075993853427899
TUR,CO,µg/m³,132445.77806493506
TUR,NO2,µg/m³,36.16143030303031
TUR,O3,µg/m³,51.26118859649122
TUR,PM10,µg/m³,46.64285378590078
TUR,PM2.5,µg/m³,18.201605714285716
TUR,SO2,µg/m³,18.638112391930836
TKM,PM2.5,µg/m³,-999.0
RUS,PM2.5,µg/m³,23.0
UGA,PM2.5,µg/m³,-999.0
ARE,CO,µg/m³,306.6666666666667
ARE,NO2,µg/m³,9.185555555555556
ARE,O3,µg/m³,48.20230769230769
ARE,PM10,µg/m³,247.72222222222223
ARE,PM2.5,µg/m³,-204.2
ARE,SO2,µg/m³,9.10888888888889
GBR,CO,µg/m³,276.6666666666667
GBR,NO2,µg/m³,30.22128205128205
GBR,O3,µg/m³,44.232654867256635
GBR,PM1,µg/m³,21.441539888028746
GBR,PM10,µg/m³,23.199925129331394
GBR,PM2.5,µg/m³,17.673730083896267
GBR,RELATIVEHUMIDITY,%,67.94662373860677
GBR,SO2,µg/m³,1.9522857142857142
GBR,TEMPERATURE,c,14.63237106402715
GBR,UM003,particles/cm³,5030.083231608072
USA,BC,µg/m³,0.42275862068965514
USA,NO,ppm,0.0019236254224112824
USA,NOX,ppm,0.006968911917098445
USA,PM10,µg/m³,22.982866043613708
USA,PM2.5,µg/m³,8.994352941176471
UZB,PM2.5,µg/m³,14.0
VNM,PM2.5,µg/m³,26.0
