country_code,year,value,co2_per_capita
KEN,1973,3920.023,0.00030417725807087526
KEN,1974,4950.45,0.00037057867404450927
KEN,1975,4976.119,0.00035980340135510894
KEN,1976,4609.419,0.00032230297764658294
KEN,1977,5056.793,0.00034230168648730064
KEN,1978,5324.484,0.00034927666091637066
KEN,1979,5038.458,0.00032059987730883704
KEN,1980,6197.23,0.00038284935606844057
KEN,1981,6527.26,0.00038657978967094854
KEN,1982,4693.76,0.00026696161727178693
KEN,1983,4660.757,0.0002549694626557075
KEN,1984,4319.726,0.00022762736848916767
KEN,1985,3769.676,0.00019160021096132284
KEN,1986,4162.045,0.0002043001125405583
KEN,1987,5174.137,0.0002455721124606013
KEN,1988,4789.102,0.00022001420483258328
KEN,1989,5192.472,0.00023113860425227436
KEN,1990,6140.0,0.0002650862918481777
KEN,1991,5890.0,0.0002461221892537812
KEN,1992,5950.0,0.00024088935800370724
KEN,1993,5860.0,0.00023008299780838875
KEN,1994,5870.0,0.00022372128782144622
KEN,1995,6370.0,0.00023586532164189295
KEN,1996,6970.0,0.00025093722352802385
KEN,1997,6640.0,0.00023261675892554448
KEN,1998,7160.0,0.00024425407136570426
KEN,1999,7490.0,0.0002489805402028729
KEN,2000,8320.0,0.00026967801935497295
KEN,2001,7610.0,0.00023842170545589913
KEN,2002,7420.00007629395,0.00022495166635473418
KEN,2003,6530.00020980835,0.00019176839815331645
KEN,2004,7440.00005722046,0.0002118564353174419
KEN,2005,8319.99969482422,0.00022993110577960792
KEN,2006,9300.00019073486,0.0002496551897011057
KEN,2007,9369.99988555908,0.0002445325396925466
KEN,2008,9909.99984741211,0.00025162095050128096
KEN,2009,11710.000038147,0.00028948414146540147
KEN,2010,12640.0003433228,0.00030444704249391253
KEN,2011,13029.9997329712,0.0003059790527950499
KEN,2012,12149.9996185303,0.00027834201171368373
KEN,2013,14100.0003814697,0.0003153089217714673
KEN,2014,15149.9996185303,0.00033089605598254473
KEN,2015,17209.9990844727,0.000367330896394853
KEN,2016,19110.0006103516,0.00039913660448289
